icao,iata,name,city,country,lat,lon
SVCP,CUP,General Francisco Bermúdez Airport,Carúpano,VE,10.660014,-63.261681
MPCH,CHX,Changuinola Captain Manuel Niño International Airport,Changuinola,PA,9.458962,-82.515062
UWKS,CSY,Cheboksary Airport,Cheboksary,RU,56.090302,47.347301
UWLW,ULY,Ulyanovsk Vostochny Airport,Cherdakly,RU,54.401001,48.8027
ZBCF,CIF,Chifeng Yulong Airport,Chifeng,CN,42.159723,118.840971
OPCH,CJL,Chitral Airport,Chitral,PK,35.886213,71.799922
MPCE,CTD,Alonso Valderrama Airport,Chitré,PA,7.98784,-80.409837
SKCZ,CZU,Las Brujas Airport,Corozal,CO,9.33274,-75.2856
MRCC,OTR,Coto 47 Airport,Corredores,CR,8.60156,-82.968754
MYLD,LGI,Deadman's Cay Airport,Deadman's Cay,BS,23.1790008545,-75.09359741210001
OSDZ,DEZ,Deir ez-Zor Airport,Deir ez-Zor,SY,35.2854,40.175999
SCES,ESR,Ricardo García Posada Airport,El Salvador,CL,-26.3111,-69.765198
URWI,ESL,Elista Airport,Elista,RU,46.3739013671875,44.33089828491211
YEML,EMD,Emerald Airport,Emerald,AU,-23.5674991608,148.179000854
FMSF,WFI,Fianarantsoa Airport,Fianarantsoa,MG,-21.441601,47.111698
FMCI,NWA,Mohéli Bandar Es Eslam Airport,Fomboni,KM,-12.298096,43.766496
OPZB,PZH,Zhob Airport,Fort Sandeman,PK,31.358400344848636,69.4636001586914
HAGM,GMB,Gambela Airport,Gambela,ET,8.12876,34.563099
NVSQ,ZGU,Gaua Island Airport,Gaua Island,VU,-14.2181,167.587006
FZFK,GMA,Gemena Airport,Gemena,CD,3.23537,19.771299
HLTD,LTD,Ghadames Airport,Ghadames,LY,30.145484,9.702095
HAGO,GDE,Gode Airport,Gode,ET,5.93513011932,43.5786018372
SKGP,GPI,Guapi Airport,Guapi,CO,2.57013,-77.897969
DAFH,HRM,Hassi R'Mel Airport,Hassi R'Mel,DZ,32.930401,3.31154
ZYHE,HEK,Heihe Aihui Airport,Heihe,CN,50.171621,127.308884
RCKW,HCN,Hengchun Airport,Hengchun,TW,22.0411,120.730003
UMMG,GNA,Hrodna Airport,Hrodna,BY,53.602001,24.053801
SPNC,HUU,Alferez Fap David Figueroa Fernandini Airport,Huánuco,PE,-9.878809928894045,-76.20480346679688
PAHL,HSL,Huslia Airport,Huslia,US,65.697899,-156.350998
UOII,IAA,Igarka Airport,Igarka,RU,67.437202,86.621902
DAAP,VVZ,Illizi Takhamalt Airport,Illizi,DZ,26.723499,8.62265
DAUZ,IAM,Zarzaitine - In Aménas Airport,In Aménas,DZ,28.0515,9.64291
SKIP,IPI,San Luis Airport,Ipiales,CO,0.861946,-77.671783
FZJH,IRP,Matari Airport,Isiro,CD,2.82761,27.588301
HAJM,JIM,Jimma Airport,Jimma,ET,7.66609001159668,36.81660079956055
FBJW,JWA,Jwaneng Airport,Jwaneng,BW,-24.602301,24.691
HRZA,KME,Kamembe Airport,Kamembe,RW,-2.462239980697632,28.907899856567383
HSKA,KSL,Kassala Airport,Kassala,SD,15.387499809265137,36.328800201416016
VYKT,KAW,Kawthoung Airport,Kawthoung,MM,10.04930019378662,98.53800201416016
VYKG,KET,Kengtung Airport,Kengtung,MM,21.30159950256348,99.63600158691406
OOKB,KHS,Khasab Airport,Khasab,OM,26.171,56.240601
UOHH,HTG,Khatanga Airport,Khatanga,RU,71.97810363769531,102.49099731445312
FZCA,KKW,Kikwit Airport,Kikwit,CD,-5.03577,18.785601
OEKK,KMC,King Khaled Military City Airport,King Khaled Military City,SA,27.9009,45.528198
VAKP,KLH,Kolhapur Airport,Kolhapur,IN,16.6647,74.289398
ZWKL,KRL,Korla Licheng Airport,Korla,CN,41.614979,86.140817
FOGK,KOU,Koulamoutou Mabimbi Airport,Koulamoutou,GA,-1.18461,12.4413
LGKZ,KZI,Kozani National Airport Filippos,Kozani,GR,40.286098,21.840799
HLKF,AKF,Kufra Airport,Kufra,LY,24.178699493408203,23.31399917602539
MUVT,VTU,Hermanos Ameijeiras Airport,Las Tunas,CU,20.9876,-76.935799
VYLS,LSH,Lashio Airport,Lashio,MM,22.9778995513916,97.752197265625
SBME,MEA,Macaé Benedito Lacerda Airport,Macaé,BR,-22.343,-41.765999
OIAM,MRX,Mahshahr Airport,Mahshahr,IR,30.5562,49.151901
NTGM,MKP,Makemo Airport,Makemo,PF,-16.5839,-143.658005
FOOK,MKU,Makokou Airport,Makokou,GA,0.5792109966278076,12.890899658203123
FNMA,MEG,Malanje Airport,Malanje,AO,-9.525090217590332,16.312400817871094
SVBS,MYC,Escuela Mariscal Sucre Airport,Maracay,VE,10.249978,-67.649422
NWWR,MEE,Maré Airport,Maré,NC,-21.482438,168.038465
SGME,ESG,Dr. Luis María Argaña International Airport,Mariscal Estigarribia,PY,-22.046499,-60.6217
HHMS,MSW,Massawa International Airport,Massawa,ER,15.67,39.370098
FZEA,MDK,Mbandaka Airport,Mbandaka,CD,0.0226000007242,18.2887001038
FMSR,MXM,Morombe Airport,Morombe,MG,-21.753837,43.374753
FTTD,MQQ,Moundou Airport,Moundou,TD,8.628503,16.074241
FKKN,NGE,N'Gaoundéré Airport,N'Gaoundéré,CM,7.357009887695312,13.559200286865234
VTSF,NST,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,TH,8.539620399475098,99.9447021484375
YNAR,NRA,Narrandera Airport,Narrandera,AU,-34.7022018433,146.511993408
SKNV,NVA,Benito Salas Airport,Neiva,CO,2.95015,-75.294
MBNC,NCA,North Caicos Airport,North Caicos,TC,21.916094,-71.942954
UHOO,OHO,Okhotsk Airport,Okhotsk,RU,59.410065,143.056503
RJNO,OKI,Oki Global Geopark Airport,Okinoshima,JP,36.178388,133.323566
RJAH,IBR,Ibaraki International Airport,Omitama,JP,36.181456,140.414434
NTTO,HOI,Hao Airport,Otepa,PF,-18.0748,-140.945999
NWWV,UVE,Ouvéa Airport,Ouvéa,NC,-20.640932,166.573024
RPMP,PAG,Pagadian Airport,Pagadian,PH,7.825632,123.459635
OPPG,PJG,Panjgur Airport,Panjgur,PK,26.9545,64.1325
OPPI,PSI,Pasni Airport,Pasni,PK,25.290501,63.3451
ULPB,PES,Petrozavodsk Airport,Petrozavodsk,RU,61.885201,34.154701
MRBC,BCL,Barra del Colorado Airport,Pococi,CR,10.7687,-83.585602
GVSN,SNE,Preguiça Airport,Preguiça,CV,16.588852,-24.284132
SKAS,PUU,Tres De Mayo Airport,Puerto Asís,CO,0.505228,-76.5008
SKPC,PCR,German Olano Airport,Puerto Carreño,CO,6.18472,-67.4932
WIOP,PSU,Pangsuma Airport,Putussibau-Borneo Island,ID,0.834579,112.940217
OSKL,KAC,Qamishli International Airport,Qamishli,SY,37.020599,41.191399
OPRK,RYK,Shaikh Zaid Airport,Rahim Yar Khan,PK,28.383899688720703,70.27960205078125
NTGK,KKR,Kaukura Airport,Raitahiti,PF,-15.6633,-146.884995
VTSR,UNN,Ranong Airport,Ranong,TH,9.77762,98.585503
VTUV,ROI,Roi Et Airport,Roi Et,TH,16.1168,103.774002
OPSS,SDT,Saidu Sharif Airport,Saidu Sharif,PK,34.813599,72.352798
GOSS,XLS,Saint Louis Airport,Saint Louis,SN,16.049814,-16.461039
USDD,SLY,Salekhard Airport,Salekhard,RU,66.5907974243164,66.61100006103516
FMNS,SVB,Sambava Airport,Sambava,MG,-14.2786,50.174702
RPVS,EUQ,Evelio Javier Airport,San Jose,PH,10.766644,121.932506
SAOU,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR,-33.273201,-66.3564
OINZ,SRY,Sari Dasht-e Naz International Airport,Sari,IR,36.644408,53.188761
VEBI,SHL,Shillong Airport,Shillong,IN,25.70359992980957,91.97869873046876
RCKU,CYI,Chiayi Airport,Shuishang,TW,23.462577,120.390544
HUSO,SRT,Soroti Airport,Soroti,UG,1.7276899814605713,33.622798919677734
MBSC,XSC,South Caicos Airport,South Caicos,TC,21.515699,-71.528503
MYAP,AXP,Spring Point Airport,Spring Point,BS,22.441799,-73.970901
OYTZ,TAI,Taiz International Airport,Taiz,YE,13.686,44.139099
GOTT,TUD,Tambacounda Airport,Tambacounda,SN,13.7368,-13.6531
SKTM,TME,Gustavo Vargas Airport,Tame,CO,6.45108,-71.7603
HTTG,TGT,Tanga Airport,Tanga,TZ,-5.09236,39.071201
DABS,TEE,Cheikh Larbi Tébessi Airport,Tébessi,DZ,35.4315986633,8.12071990967
YTGM,XTG,Thargomindah Airport,Thargomindah,AU,-27.986368,143.812065
NWWU,TOU,Touho Airport,Touho,NC,-20.790127,165.259524
RJNT,TOY,Toyama Kitokito Airport,Toyama,JP,36.648416,137.187359
SKCO,TCO,La Florida Airport,Tumaco,CO,1.81442,-78.7492
VVTH,TBB,Dong Tac Airport,Tuy Hoa,VN,13.0496,109.334
OITR,OMH,Urmia Airport,Urmia,IR,37.6680984497,45.0686988831
SVVL,VLV,Dr. Antonio Nicolás Briceño Airport,Valera,VE,9.340478,-70.584061
SKVP,VUP,Alfonso López Pumarejo Airport,Valledupar,CO,10.435,-73.2495
GVMA,MMO,Maio Airport,Vila do Maio,CV,15.15590000152588,-23.213699340820312
RPUV,VRC,Virac Airport,Virac,PH,13.57639980316162,124.20600128173828
FMMS,SMS,Sainte Marie Airport,Vohilava,MG,-17.093901,49.8158
RKNW,WJU,Wonju Airport / Hoengseong Air Base (K-38/K-46),Wonju,KR,37.437113,127.960051
FKKY,YAO,Yaoundé Ville Airport,Yaoundé,CM,3.83604,11.5235
DNYO,YOL,Yola Airport,Yola,NG,9.257550239562988,12.430399894714355
ROYN,OGN,Yonaguni Airport,Yonaguni,JP,24.467298,122.979827
SKYP,EYP,El Alcaravan - Yopal Airport,Yopal,CO,5.31911,-72.384
GOGG,ZIG,Ziguinchor Airport,Ziguinchor,SN,12.55559,-16.283298
DRZR,ZND,Zinder Airport,Zinder,NE,13.779000282287598,8.983759880065918
ULDD,AMV,Amderma Airport,Amderma,RU,69.76329803466797,61.556400299072266
ULKK,KSZ,Kotlas Airport,Kotlas,RU,61.235801696777344,46.6974983215332
UNWW,NOZ,Spichenkovo Airport,Novokuznetsk,RU,53.811401,86.877197
LFOE,EVX,Évreux-Fauville (BA 105) Air Base,"Fauville, Eure",FR,49.028702,1.21986
UERP,PYJ,Polyarny Airport,Yakutia,RU,66.400398,112.029999
DNAK,AKR,Akure Airport,Akure,NG,7.246739864349365,5.3010101318359375
UWSB,BWO,Balakovo Airport,Balakovo,RU,51.858299,47.745602
PAHC,HCR,Holy Cross Airport,Holy Cross,US,62.18830108642578,-159.77499389648438
GFKE,KEN,Kenema Airport,Kenema,SL,7.896364,-11.174126
SAVH,LHS,Las Heras Airport,Las Heras,AR,-46.538517,-68.965323
NTHE,AHE,Ahe Airport,Ahe Atoll,PF,-14.428099632263184,-146.2570037841797
OEAO,ULH,Al-Ula International Airport,Al-Ula,SA,26.483634,38.117048
SBMD,MEU,Monte Dourado - Serra do Areão Airport,Almeirim,BR,-0.889839,-52.6022
ZMAT,LTI,Altai Airport,Altai,MN,46.37639999389648,96.22109985351562
ZWAT,AAT,Altay Xuedu Airport,Altay,CN,47.749886,88.085808
ZUAS,AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),CN,26.260556,105.873333
PANV,ANV,Anvik Airport,Anvik,US,62.646702,-160.190994
SWGN,AUX,Araguaína Airport,Araguaína,BR,-7.22787,-48.240501
HUAR,RUA,Arua Airport,Arua,UG,3.049152,30.911714
PATQ,ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,70.46704,-157.436013
ZGBS,AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.7206,106.959999
LTBF,BZI,Balıkesir Airport,Balıkesir,TR,39.619301,27.926001
ZPBS,BSD,Baoshan Yunrui Airport,Baoshan (Longyang),CN,25.053301,99.168297
ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.748317,105.58416
ZBYZ,RLK,Bayannur Tianjitai Airport,Bayannur,CN,40.926358,107.74093
ZUBZ,BZX,Bazhong Enyang Airport,Bazhong,CN,31.73842,106.644872
ZGBH,BHY,Beihai Fucheng Airport,Beihai,CN,21.538659,109.293683
VEBU,PAB,Bilaspur Airport,Bilaspur,IN,21.9884,82.111
WADB,BMU,Sultan Muhammad Salahuddin Airport,Bima,ID,-8.537184,118.685002
UUBP,BZK,Bryansk International Airport,Bryansk,RU,53.214199,34.176399
VVCM,CAH,Cà Mau Airport,Ca Mau City,VN,9.177667,105.177778
SKLC,APO,Antonio Roldán Betancur Airport,Carepa,CO,7.81196,-76.7164
RPUY,CYZ,Cauayan Airport,Cauayan City,PH,16.9298992157,121.752998352
SPPY,CHH,Chachapoyas Airport,Chachapoyas,PE,-6.201911,-77.856195
ZGCD,CGD,Changde Taohuayuan Airport,Changde (Dingcheng),CN,28.9189,111.639999
ZGCZ,HCZ,Chenzhou Beihu Airport,Chenzhou,CN,25.753419,112.845404
FNDU,DUE,Dundo Airport,Chitato,AO,-7.400889873504639,20.818500518798828
OEDM,DWD,Dawadmi Domestic Airport,Dawadmi,SA,24.4499,44.121201
ZUDA,DZH,Dazhou Jinya Airport,Dazhou (Dachuan),CN,31.048815,107.435646
PADE,DRG,Deering Airport,Deering,US,66.068901,-162.766914
ZPMS,LUM,Dehong Mangshi International Airport,Dehong (Mangshi),CN,24.4011,98.5317
OIAD,DEF,Dezful Airport,Dezful,IR,32.434399,48.397598
ZHES,ENH,Enshi Xujiaping Airport,Enshi (Enshi),CN,30.320299,109.485001
ZGFS,FUO,Foshan Shadi Airport,Foshan (Nanhai),CN,23.0825,113.070833
UBBQ,GBB,Gabala International Airport,Gabala,AZ,40.808617,47.725389
ZLXH,GXH,Gannan Xiahe Airport,Gannan (Xiahe),CN,34.819014,102.622261
ZUDC,DCY,Daocheng Yading Airport,Garzê (Daocheng),CN,29.31632,100.060317
ZLGM,GOQ,Golmud Airport,Golmud,CN,36.4006,94.786102
ZLGL,GMQ,Golog Maqên Airport,Golog (Maqên),CN,34.418066,100.301144
MHNJ,GJA,La Laguna Airport,Guanaja,HN,16.4454,-85.906601
LTCW,YKO,Hakkari Yüksekova Airport,Hakkari,TR,37.5497,44.2381
OIHH,HDM,Hamadan Airport,Hamadan,IR,34.869202,48.552502
ZWHM,HMI,Hami Airport,Hami,CN,42.8414,93.669197
MUPB,UPB,Playa Baracoa Airport,Havana,CU,23.032801,-82.579399
ZYDU,DTU,Wudalianchi Dedu Airport,Heihe,CN,48.441037,126.128374
ZGHZ,HUZ,Huizhou Pingtan Airport,Huizhou (Pingtan),CN,23.049999,114.599998
RJDB,IKI,Iki Airport,Iki,JP,33.7490005493,129.785003662
PAIL,ILI,Iliamna Airport,Iliamna,US,59.754398,-154.910996
SPJE,JAE,Shumba Airport,Jaén,PE,-5.59248,-78.774002
SPJJ,JAU,Francisco Carle Airport,Jauja,PE,-11.7831001282,-75.47339630130001
ZHJZ,SHS,Jingzhou Shashi Airport,Jingzhou (Shashi),CN,30.29281,112.44854
ZSJG,JNG,Jining Da'an Airport,Jining,CN,35.647358,116.743269
VOCP,CDP,Kadapa Airport,Kadapa,IN,14.513154,78.769183
VIGG,DHM,Kangra Airport,Kangra,IN,32.164902,76.263018
HAKD,ABK,Kebri Dahar Airport,Kebri Dahar,ET,6.732577,44.241339
UHMK,KPW,Keperveem Airport,Keperveem,RU,67.845001,166.139999
OIBP,PGU,Persian Gulf International Airport,Khiyaroo,IR,27.379601,52.737701
OAKS,KHT,Khost International Airport,Khost,AF,33.284605,69.80734
RJKI,KKX,Kikai Airport,Kikai,JP,28.3213005066,129.927993774
WAWP,KXB,Sangia Nibandera Airport,Kolaka,ID,-4.338158,121.524047
UUBA,KMW,Kostroma Sokerkino Airport,Kostroma,RU,57.796902,41.019402
UTDT,KQT,Qurghonteppa International Airport,Kurgan-Tyube,TJ,37.86640167236328,68.86470031738281
MRAN,FON,La Fortuna Arenal Airport,La Fortuna,CR,10.469311,-84.579073
RPLH,LLC,Cagayan North International Airport,Lal-lo,PH,18.182388,121.746223
OISR,LFM,Lamerd Airport,Lamerd,IR,27.3727,53.188801
WAPF,LUV,Karel Sadsuitubun Airport,Langgur,ID,-5.760278,132.759444
ZPLC,LNJ,Lincang Boshang Airport,Lincang,CN,23.7381,100.025002
ZSLY,LYI,Linyi Qiyang Airport,Linyi (Hedong),CN,35.052918,118.411828
VRMV,VAM,Villa International Airport Maamigili,Maamigili,MV,3.471751,72.832633
SBMY,MNX,Manicoré Airport,Manicoré,BR,-5.81138,-61.278301
RCMT,MFK,Matsu Beigan Airport,Matsu (Beigan),TW,26.224199,120.002998
RCFG,LZN,Matsu Nangan Airport,Matsu (Nangan),TW,26.159656,119.958376
PAMY,MYU,Mekoryuk Airport,Mekoryuk,US,60.372338,-166.269751
ZLHX,HTT,Huatugou Airport,Mengnai,CN,38.201645,90.837843
ZYMH,OHE,Mohe Gulian Airport,Mohe,CN,52.916871,122.422759
FQNC,MNC,Nacala International Airport,Nacala,MZ,-14.4882,40.7122
WIOG,NPO,Nanga Pinoh Airport,Nanga Pinoh-Borneo Island,ID,-0.34864,111.746155
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL,70.743103,-22.650499
ZPNL,NLH,Ninglang Luguhu Airport,Ninglang,CN,27.5403,100.7593
ZMUL,ULG,Ölgii Mongolei International Airport,Ölgii,MN,48.993301,89.922501
RCLY,KYD,Lanyu Airport,Orchid Island,TW,22.027000427246094,121.53500366210938
ZUZH,PZI,Panzhihua Bao'anying Airport,Panzhihua (Renhe),CN,26.54,101.79852
VIPK,IXP,Pathankot Airport,Pathankot,IN,32.233611,75.634444
PAPM,PTU,Platinum Airport,Platinum,US,59.017675,-161.827927
DNPM,PHG,Port Harcourt City Airport / Port Harcourt Air Force Base,Port Harcourt,NG,4.846111,7.021389
ZBDH,BPE,Qinhuangdao Beidaihe Airport,Qinhuangdao (Changli),CN,39.666384,119.061384
ZJQH,BAR,Qionghai Bo'ao Airport,Qionghai (Basuo),CN,19.140951,110.452766
SLRI,RIB,Capitán Av. Selin Zeitun Lopez Airport,Riberalta,BO,-11.009355,-66.075468
ZSRZ,RIZ,Rizhao Shanzihe Airport,Rizhao (Donggang),CN,35.405033,119.324403
PARY,RBY,Ruby Airport,Ruby,US,64.727203,-155.470001
USDA,SBT,Sabetta International Airport,Sabetta,RU,71.219167,72.052222
RJSD,SDS,Sado Airport,Sado,JP,38.0601997375,138.414001465
ZSSM,SQJ,Sanming Shaxian Airport,Sanming (Sha),CN,26.4263,117.8336
SERO,ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,Santa Rosa,EC,-3.441986,-79.996957
DAAS,QSF,Ain Arnat Airport,Sétif,DZ,36.178488,5.329909
ZGSG,HSC,Shaoguan Danxia Airport,Shaoguan,CN,24.9786,113.420998
ZHSN,HPG,Shennongjia Hongping Airport,Shennongjia (Hongping),CN,31.626,110.34
ZYCY,CHG,Chaoyang Airport,"Shuangta, Chaoyang",CN,41.538101,120.434998
WIMS,FLZ,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID,1.557127,98.887145
WIOS,SQG,Tebelian Airport,Sintang,ID,-0.045214,111.458049
ZKSD,DSO,Sondok Airport,Sŏndŏng-ni,KP,39.745201,127.473999
TUPW,VIJ,Virgin Gorda Airport,Spanish Town,VG,18.446634,-64.427932
PAPB,STG,St George Airport,St George,US,56.577345,-169.663823
PASN,SNP,St Paul Island Airport,St Paul Island,US,57.166311,-170.222555
OPSU,SUL,Sui Airport,Sui,PK,28.645099639892575,69.1769027709961
UGSS,SUI,Vladislav Ardzinba Sukhum International Airport,Sukhumi,GE,42.8582,41.128101
DGSN,NYI,Sunyani Airport,Sunyani,GH,7.36183,-2.32876
URMS,IGT,Magas Airport,Sunzha,RU,43.323268,45.012568
EPSY,SZY,Olsztyn-Mazury Airport,Szymany,PL,53.481899,20.9377
WITK,TXE,Rembele Airport,Takengon,ID,4.72113,96.851943
WAKT,TMH,Tanah Merah Airport,Tanah Merah,ID,-6.09669,140.303521
WAON,TJG,Warukin Airport,Tanta-Tabalong,ID,-2.21656,115.435997
VNTJ,TPJ,Taplejung Airport,Taplejung,NP,27.3509,87.69525
RORT,TRA,Tarama Airport,Tarama,JP,24.653793,124.675453
SANR,RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,AR,-27.4966,-64.93595
ZYTN,TNH,Tonghua Sanyuanpu Airport,Tonghua,CN,42.048435,125.733963
RJBT,TJH,Konotori Tajima Airport,Toyooka,JP,35.512798,134.787003
VCCT,TRR,China Bay Airport,Trincomalee,LK,8.539159,81.18128
